club_name,club_url,season,Games Played,Goals,Goals Conceded,Shots,Shots On Target,penalties,penalties_scored,Free Kicks Scored,Hit Woodwork,crosses,cross_accuracy,Interceptions,Blocks,Clearances,penalties_saved,penalty_save_precentage,Passes,long_passes,long_pass_accuracy,Corners Taken,dribble_attempts,dribble_accuracy,Duels Won,Aerial Duels Won,Red Cards,Yellow Cards,Fouls,Offsides,Own Goals,free_kicks_taken,free_kicks_scored,Penalties Taken
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2017/2018,38,74,51,468,234,5,4,30,16,352,17,427,103,828,1,17,23524,1994,52,225,547,70,2013,647,2,57,383,89,1,0,0,0
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/stats,2017/2018,38,45,61,316,158,3,3,0,10,492,20,367,160,1037,1,33,16131,2299,43,218,638,54,1961,721,1,55,339,52,0,15,1,0
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2017/2018,38,34,54,238,119,7,5,4,8,491,16,449,190,1085,2,67,14675,2774,46,163,487,61,1971,813,2,54,413,98,1,0,0,0
Burnley,https://www.premierleague.com/en/clubs/90/burnley/stats,2017/2018,38,36,39,256,128,0,0,0,9,510,20,400,191,1185,1,20,13571,3028,40,168,345,63,2085,957,0,65,350,100,1,16,1,0
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2017/2018,38,62,38,440,220,3,3,0,11,585,18,424,107,768,0,0,21264,2142,53,232,734,70,2158,615,4,42,363,108,2,20,2,0
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2017/2018,38,45,55,302,151,10,8,0,7,452,17,552,117,1022,0,0,14371,2416,40,210,718,67,2321,768,0,72,425,56,1,20,1,0
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2017/2018,38,44,58,242,121,8,5,8,6,419,22,514,160,1229,1,20,14749,2726,40,150,461,57,2032,774,3,51,460,82,2,0,0,0
Huddersfield Town,https://www.premierleague.com/en/clubs/38/huddersfield-town/stats,2017/2018,38,28,58,220,110,2,2,14,9,562,15,518,118,1070,2,33,14960,2563,42,166,491,56,2170,807,3,62,397,67,3,0,0,0
Leicester City,https://www.premierleague.com/en/clubs/13/leicester-city/stats,2017/2018,38,56,60,298,149,6,5,0,8,530,16,414,130,920,2,50,15200,2667,44,203,718,59,2196,796,5,52,364,92,3,11,1,0
Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/stats,2017/2018,38,84,38,466,233,3,2,0,15,546,19,379,71,736,2,33,22962,2370,50,231,652,67,1967,598,1,44,344,70,2,22,2,0
Manchester City,https://www.premierleague.com/en/clubs/43/manchester-city/stats,2017/2018,38,106,27,530,265,8,6,0,24,489,15,346,53,588,2,100,28241,1775,61,285,732,69,1934,526,2,59,344,67,3,30,1,0
Manchester United,https://www.premierleague.com/en/clubs/1/manchester-united/stats,2017/2018,38,68,28,356,178,3,1,0,16,540,19,481,112,853,0,0,20063,2308,50,220,736,63,2069,630,1,64,405,88,1,21,2,0
Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/stats,2017/2018,38,39,47,298,149,0,0,0,12,434,20,441,117,1125,2,33,14028,2610,39,167,535,57,2202,903,2,52,409,63,1,21,1,1
Southampton,https://www.premierleague.com/en/clubs/20/southampton/stats,2017/2018,38,37,56,290,145,3,3,0,15,545,17,462,128,953,1,50,17174,2541,38,227,531,71,2101,702,2,63,416,73,1,11,1,0
Stoke City,https://www.premierleague.com/en/clubs/110/stoke-city/stats,2017/2018,38,35,68,262,131,0,0,0,8,411,18,461,142,1164,0,0,12892,2528,43,136,507,64,2352,989,1,62,436,87,1,11,1,3
Swansea City,https://www.premierleague.com/en/clubs/80/swansea-city/stats,2017/2018,38,28,56,206,103,1,1,15,8,491,15,390,124,943,3,50,15721,2579,45,152,523,61,2015,702,1,51,377,38,1,0,0,0
Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/stats,2017/2018,38,74,36,432,216,3,2,28,13,586,14,380,74,825,0,0,21660,2447,55,247,719,61,2053,620,2,50,384,88,4,0,0,0
Watford,https://www.premierleague.com/en/clubs/57/watford/stats,2017/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion,https://www.premierleague.com/en/clubs/35/west-bromwich-albion/stats,2017/2018,38,31,56,228,114,1,1,0,6,576,23,470,148,992,0,0,13216,2699,41,178,527,61,2055,803,1,73,440,79,0,15,1,0
West Ham United,https://www.premierleague.com/en/clubs/21/west-ham-united/stats,2017/2018,38,48,68,266,133,4,2,0,14,521,18,482,154,1007,1,17,14368,2566,43,161,642,66,2237,753,2,73,379,97,0,17,1,0
