position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,12,10,1,1,41,13,28,31
2,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,11,8,2,1,27,14,13,26
3,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,11,8,2,1,21,8,13,26
4,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,11,7,3,1,25,9,16,24
5,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,11,6,5,0,19,6,13,23
6,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,11,6,4,1,23,10,13,22
7,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,11,7,0,4,22,15,7,21
8,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,12,6,3,3,20,16,4,21
9,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,10,5,3,2,13,7,6,18
10,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,11,5,3,3,14,12,2,18
11,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,10,5,2,3,17,10,7,17
12,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,11,5,2,4,17,15,2,17
13,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,12,4,4,4,12,17,-5,16
14,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,11,4,2,5,12,13,-1,14
15,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,11,4,2,5,9,14,-5,14
16,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,11,3,4,4,15,16,-1,13
17,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,11,3,4,4,11,12,-1,13
18,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,11,3,3,5,15,13,2,12
19,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,11,3,2,6,10,14,-4,11
20,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,11,1,3,7,10,19,-9,6
